Participant,SELF_MONITORING,EMOTIONAL_APPEAL,COMPETITION,ATT_Change
1,3,3,4,2
2,4,3,4,4
3,4,5,3,5
4,5,5,5,0
5,5,5,5,4
6,4,4,4,4
7,4,4,4,4
8,5,5,5,4
9,4,4,4,5
10,5,5,5,4
11,5,5,5,4
12,4,4,4,5
13,5,5,5,-1
14,5,5,5,4
15,5,5,5,5
16,4,4,4,4
17,4,4,4,-1
18,4,4,4,3
19,4,4,4,5
20,4,4,4,5
21,4,4,4,6
22,5,5,5,6
23,4,4,5,4
24,4,4,4,6
25,2,2,2,5
26,3,3,3,-3
27,3,4,4,4
28,3,3,3,3
29,2,2,2,3
30,4,4,5,4
31,4,4,5,4
32,4,3,4,0
33,3,3,3,5
34,4,4,4,5
35,4,5,5,4
36,4,5,5,4
37,5,5,5,-2
38,5,4,5,4
39,4,4,4,4
40,4,4,4,4
41,4,4,4,4
42,4,5,4,3
43,4,4,5,3
44,4,5,4,3
45,5,5,5,-1
46,5,5,5,4
47,5,5,5,4
48,5,5,5,4
49,5,5,5,4
50,5,5,5,5
51,4,4,4,0
52,5,5,5,3
53,5,5,5,-2
54,4,3,4,3
55,5,5,5,4
56,5,5,5,6
57,4,5,5,6
58,5,5,5,6
59,4,4,5,6
60,4,4,4,6
61,5,5,5,6
62,4,5,5,5
63,5,5,5,4
64,4,5,4,5
65,5,5,5,3
66,5,5,5,5
67,4,4,4,5
68,4,5,4,5
69,4,4,5,5
70,4,4,4,5
71,4,4,5,4
72,5,4,5,6
73,5,4,5,6
74,4,5,5,6
75,5,5,5,6
