Food_category,food_name,n,tf,  idf    ,  tf_idf
bakery,whole wheat bread ,27,0.818181818,2.639057,2.159228724
bakery,whole-grain toast  ,4,0.121212121,2.639057,0.319885737
bakery,whole-wheat toast  ,1,0.03030303,2.639057,0.079971434
bakery,whole wheat crackers  ,1,0.03030303,2.639057,0.079971434
beans and legumes,hummus,6,1,2.639057,2.63905733
beverages and juice,herbal tea ,17,0.34,2.639057,0.897279492
beverages and juice,black coffee ,15,0.3,2.639057,0.791717199
beverages and juice,unsweetened iced tea ,10,0.2,2.639057,0.527811466
beverages and juice,green tea  ,6,0.12,2.639057,0.31668688
beverages and juice, orange juice  ,2,0.04,2.639057,0.105562293
