S/N,Authors,Title of paper,Year of Publication,Venue of Publication (e.g.IEEE),Type of Publication (Conference or Journal),Pre-processing Techniques,Datasets,Size,Skin Diseases,Parts of the Affected Skin,Model,Accuracy,Limitation,sensitivity ,specificity,Confusion Matrix (CM) Bias,Class imbalance (#datasets for that class compared to the highest class),"Early, Mid or  Late stages",Cancerous Versus Non-Cancerous,No of skin diseases,,
1,Pacheco and Krohling (2020),A patient-centric dataset of images and metadata for identifying melanomas using clinical context,2020,IEEE,Journal ,"Data augmentation, Color constancy pre-processing, Label balancing.",PAD-UFES-20 dataset,1612 images,"Actinic Keratoses and Intraepithelial Carcinoma, Basal Cell Carcinoma, Melanoma, Nevus, Squamous Cell Carcinoma, Sebhorreic
Keratosis",,"ResNet-50,  ResNet101,  GoogleNet,  MobileNet,  VGGNet-13,  VGGNet-19","ResNet-50 :67.1%,  ResNet101: 69.1%,  GoogleNet: 70.4%,  MobileNet: 69.1%,  VGGNet-13: 70.7%,  VGGNet-19: 67.9%",The dataset used in this study was small,80%,Not reported and not visible to be computed,Squamous Cell Carcinoma was correctly classified 50% compared to other skin diseases.,"Not applicable. Though there was a case of class imbalance, SCC did not have as much as the other one that performed better.",Not specified,"Cancerous: Intraepithelial Carcinoma, Basal Cell Carcinoma,
Melanoma, Squamous Cell Carcinoma. Non-cancerous: Nevus, Seborrheic Keratosis, Actinic Keratoses",6,,
2,Junayed et al (2021),ScarNet: Development and Validation of a Novel Deep CNN Model for Acne Scar Classification with a New Dataset.,2021,IEEE,Journal ,"Image Resizing, Color Space Conversion, Guided Image Filtering",Class Acne Scar,250 RGB images,"Acne scars(icepick, rolling, boxcar, hypertrophic, and keloidal scars)",,DCNN,92.53%,The sample size used is very small and the model might be overfitting.,82.34%,95.38%,Rolling skin scar 1.14% correct classification.,,not specified,Non cancerous,1,,
3,Xie et al (2020),"A Mutual Bootstrapping Model for Automated Skin
Lesion Segmentation and Classification",2020,IEEE,Journal ,"Data Augmentation, Handling Class Imbalance, Ranking of Pixels",ISIC-2017 and PH2,"150,223 clinical images","Melanoma, Nevus, and Seborrheic Kratosis",,MB-DCNN,92.30%,,96.70%,94.60%,No CM,,Not specified,"cancerous: Melanoma , Non-cancerous: Nevus, Seborrheic Keratosis",3,,
4,Naji and El Abbadi 2022,Skin Diseases Classification using Deep Convolutional Neural Network,2022,IEEE,Conference," Image Resize, Image Augmentation, Image standardizatio","Kaggle, Dermnetnz, Dermcoll, Medical","21,485 color images","Atopic Dermatitis, Basal Cell Carcinoma, Benign Keratosis-like lesions, Eczema, Healthy Skin, Linchen Planus, Melanocytic Nevi, Melanoma, Pityriasis Rosea, Psoriasis ",,CNN,91.07%.,,Not reported for the overall model but for individual skin disease with minimum of 72% for Eczema,Not reported,,,,,10,,
5,Sadik et al (2023),An in-depth analysis of Convolutional Neural Network architectures with transfer learning for skin disease diagnosis,2023,Elsevier,journal ,"Real-time data augmentation,",HAM10000 & Dermnet,"18,692 images","Atopic Dermatitis, Eczema, Herpes, Melanoma, Nervus",,MobileNet and Xception,"MobileNet = 96.00%,       Xception = 97.00%",,96% Mobile Net and 97% for Xception,"Not reported for the overall model but for individual skin disease with minimum of 75.25% for both Melanoma
and Nevus",Not Applicable,,Not specified,"cancerous: Melanoma, Non-cancerous: Atopic Dermatitis, Eczema, Herpes, Nevus",5,,
6,Bindhu and Thanammal (2023),Segmentation of skin cancer using Fuzzy U-network via deep learning,2023,Elsevier,journal ,Bilateral Filter,ISIC dataset,35126 images,Benign skin lesions and Malignant skin lesions.,,MFO-Fuzzy Unet,99.13%,,95.78%,94.65%,No CM,,Not Specified ,"Cancerous: Benign, non-cancerous: melignant",2,,
7,Keerthana et al (2023),Hybrid convolutional neural networks with SVM classifier for classification of skin cancer,2023,Elsevier,Journal ,"Resizing Images,Image Augmentation",ISBI 2016 dataset,1279 images,Benign skin lesions and Malignant skin lesions.,,Hybrid CNN-SVM,88.02%,,98.54%,40%,Malignant 55% compared to Benign 88%,,Not Specified ,"Cancerous: Benign, non-cancerous: melignant",2,,
8,Mridha et al (2023),"An Interpretable Skin Cancer Classification Using
Optimized Convolutional Neural Network for a
Smart Healthcare System",2023,IEEE,Journal ,,The HAM10000,"40,157 images","Actinic Keratosi, Basal Cell Carcinoma, benign keratosis, dermatofibroma, , Nevus, Melanoma, vascular lesions ",,CNN,82%,,Not reported for the overall model but for individual skin disease with minimum of 0% for Adam optimizer and 15.8% for RMSProp.,Not reported,Basal cell carcinoma 0% compared to Dermafibroma 100%,,Not Specified,"cancerous: Basal Cell Carcinoma, Melanoma, non-cancerous : Actinic Keratosis, Benign Keratosis, Dermatofibroma, Nevus, Vascular Lesions.",7,,
9,Asiri et al (2023),IoT enabled healthcare environment using intelligent deep learning enabled skin lesion diagnosis model,2023,Elsevier,Journal ,"Image segmentation , Image preprocessing",ISIC dataset,697 images,"Basal Cell Carcinoma, Angioma, Lentigo NOS , Nevus, Solar Lentigo , Melanoma, and Sebhorreic Keratose.",, MobileNetv2,99.06%,,Not reported for the overall model but for individual skin disease with minimum of 94.59% for Basal Cell Carcinoma.,Not reported for the overall model but for individual skin disease with minimum of 98.80% for Basal Cell Carcinoma,Not Applicable,Not Applicable,,"cancerous: Basal Cell Carcinoma, Melanoma, non-cancerous : Lentigo NOS, Angioma, Nevus, Solar Lentigo, Seborrheic Keratosis.",7,,
10,Bung?ardean et al 2021,Deep learning with transfer learning in pathology. Case study: classification of basal cell carcinoma,2021,Elsevier,Journal ,"Histological Processing, Slide Scanning, Image Cropping, Data Augmentation, Normalization, Labeling.","Clinical Municipal Hospital in Cluj-Napoca, Romania.",102 images,Basal Cell Carcinoma,,"AlexNet, GoogLeNet, and ResNet-18","AlexNet= 82%, GoogLeNet= 83%, and ResNet-18, 82%",The dataset used in this study was small,"AlexNet= 76.48%, GoogLeNet= 76.19%, and ResNet-75.81%","AlexNet= 98.2%, GoogLeNet= 98.32%, and ResNet-98.24%",Not Applicable,Not Applicable,Not specified,cancerous: Basal Cell Carcinoma,1,,
11,Kimeswenger et al 2021,Artificial neural networks and pathologists recognize basal cell carcinomas based on different histological patterns,2021,PubMed,Journal,"WSI Downsizing, Tile Extraction and Removal of Empty Tiles, Tile Normalization.",Kepler University Hospital and the Medical University of Vienna,820 images,Basal Cell Carcinoma,,ANN,99.30%,"The dataset utilized was of small size, and their emphasis was exclusively placed on the diagnosis of basal cell carcinomas (BCCs).",96.5%: CI: 0.951–0.979,91%: CI: 0.859–0.960,Not Applicable,Not Applicable,Not specified,cancerous: Basal Cell Carcinoma,1,,
