Paper_ID,Rater_1,Rater_2,Rater_3,Rater_4,Rater_5,Rater_6
1,0,0,1,0,0,0
2,1,1,0,1,1,1
3,1,1,1,1,1,1
4,0,0,0,0,0,0
5,0,0,0,1,0,0
6,0,0,1,0,0,0
7,0,0,0,0,0,0
8,1,1,1,1,1,1
9,0,0,0,0,0,0
10,1,1,1,1,0,1
11,0,0,0,0,0,0
12,1,1,1,0,1,1
13,0,0,1,1,1,1
14,0,0,0,1,0,0
15,0,0,0,0,0,1
16,0,0,0,0,0,0
17,0,1,0,0,0,0
18,0,1,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,1,0,0,1,0,0
23,0,1,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,1,1,1,1,1,1
27,1,0,0,0,0,0
28,0,0,0,0,1,0
29,1,1,0,0,0,0
30,0,0,0,0,0,0
31,1,1,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,1,1,1,1,1,1
35,1,1,1,1,1,1
36,0,1,0,1,1,1
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,1,0,0,1
40,1,0,0,0,0,0
41,0,0,0,1,0,0
42,0,0,0,0,0,0
43,0,1,0,0,0,0
44,1,1,1,1,1,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,1,0,0,0
48,0,0,0,0,0,1
49,0,0,0,1,0,0
50,0,0,0,0,1,0
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,0,1,1,1,1,1
54,1,1,1,1,1,0
55,0,0,0,0,0,0
56,1,1,0,1,1,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,1,0,0,0,0
62,0,0,0,0,0,0
63,1,1,0,1,1,1
64,0,0,0,0,0,0
65,1,0,0,0,0,1
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,1,1,1,1,1,1
69,1,0,0,0,0,0
70,0,1,1,1,0,1
71,1,1,1,1,1,1
72,0,1,0,0,0,0
73,0,0,0,0,1,0
74,1,1,1,1,0,1
75,1,1,1,1,1,1
76,1,1,1,1,1,0
77,1,1,1,1,1,1
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,1,1,1,1,0,1
82,0,0,0,0,0,0
83,0,0,0,0,1,0
84,0,1,0,1,0,0
85,0,0,0,0,0,0
86,0,1,0,0,0,0
87,1,1,1,1,1,1
88,0,0,1,0,0,0
89,1,1,1,1,1,1
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,1,0,1,1,0,1
93,1,1,1,1,1,1
94,0,0,1,0,0,0
95,1,1,1,1,1,0
96,0,0,0,0,0,0
97,0,0,1,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,1
101,0,0,0,0,0,0
102,0,0,0,1,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,1
105,1,1,1,1,0,1
106,0,0,1,0,0,0
107,0,1,0,0,0,0
108,1,1,0,1,1,1
109,0,0,0,1,0,0
110,0,1,0,0,0,0
111,0,0,0,1,0,0
112,0,0,0,0,0,1
113,1,1,1,0,1,1
114,1,1,1,1,1,0
115,0,0,0,1,0,0
116,1,0,1,1,1,1
117,1,1,1,1,1,1
118,0,0,0,0,0,0
119,1,1,1,1,1,1
120,0,0,0,0,0,0
121,0,1,1,1,1,1
122,1,1,1,1,1,1
123,0,0,0,0,0,0
124,0,0,0,1,0,0
125,0,0,1,1,0,0
126,0,0,0,0,0,0
127,1,1,1,1,1,1
128,1,1,0,1,1,1
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,1
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,1,1,1,1,1
136,0,1,0,0,0,0
137,0,0,0,0,0,0
138,1,1,1,1,1,1
139,0,0,0,0,0,0
140,1,1,1,1,1,1
141,1,1,1,1,1,1
142,1,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
146,0,0,0,0,0,0
147,0,0,0,0,0,0
148,0,0,0,1,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,1,1,1,1,1,1
152,0,0,0,0,0,0
153,1,0,0,0,0,0
154,0,0,0,0,0,0
155,1,1,0,1,1,1
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,1,1,1,1,1,1
159,0,0,0,0,0,0
160,1,1,1,1,0,0
161,0,0,0,1,0,0
162,0,0,0,0,0,0
163,0,0,0,0,0,0
164,0,0,0,0,0,1
165,0,0,0,0,0,0
166,0,1,1,1,1,0
167,0,0,0,0,0,0
168,1,0,0,0,0,0
169,0,1,0,0,0,0
170,0,0,0,0,0,0
171,0,0,0,0,0,0
172,0,0,0,0,0,0
173,0,1,0,0,1,0
174,0,0,0,0,0,1
175,0,1,0,0,0,0
176,0,0,0,0,1,1
177,0,0,0,0,0,1
178,0,0,0,0,0,0
179,0,1,0,1,1,1
180,1,0,0,0,0,0
181,0,0,0,0,0,0
182,0,0,0,0,1,0
183,1,1,1,0,1,1
184,1,1,0,1,1,1
185,0,0,0,0,0,0
186,0,0,0,0,1,0
187,1,1,1,1,0,1
188,0,0,0,0,1,0
189,0,0,0,0,0,0
190,0,0,0,1,0,0
191,0,0,0,0,1,0
192,1,1,1,1,1,1
193,1,1,1,0,1,1
194,0,0,0,0,0,1
195,0,0,0,0,0,0
196,0,0,1,0,0,0
197,1,1,1,1,1,0
198,0,1,1,1,1,1
199,0,1,1,1,1,1
200,1,1,1,1,1,1
201,1,0,0,0,0,0
202,0,0,0,0,0,1
203,0,0,0,0,0,0
204,1,1,1,1,1,1
205,0,0,0,0,0,0
206,0,1,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
210,0,0,1,0,0,0
211,0,0,0,0,0,0
212,0,0,0,0,0,0
213,0,0,0,0,1,0
214,1,0,1,0,0,0
215,1,1,1,0,1,1
216,1,0,0,0,0,0
217,0,0,0,1,0,0
218,0,1,1,0,1,0
219,0,0,0,0,0,0
220,1,1,1,1,1,1
221,0,0,0,0,0,1
222,0,0,0,0,0,0
223,0,0,0,0,1,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,1
227,1,1,1,1,1,1
228,0,0,0,0,0,0
229,1,1,1,1,1,1
230,1,0,0,0,0,0
231,1,1,1,1,1,1
232,0,0,1,0,0,0
233,0,0,0,0,0,0
234,0,0,0,1,0,0
235,0,0,1,0,0,0
236,1,1,0,1,1,0
237,0,1,0,0,0,0
238,0,1,0,1,0,0
239,0,0,1,0,0,0
240,0,0,0,1,0,0
241,1,1,1,1,1,0
242,1,1,1,1,0,1
243,1,1,1,1,1,1
244,0,0,0,0,0,0
245,1,0,0,1,0,0
246,1,1,1,1,1,1
247,0,1,1,0,0,1
248,1,0,0,1,1,0
249,1,1,1,1,1,1
250,0,1,1,1,1,1
251,0,0,1,0,0,0
252,0,0,0,1,0,0
253,1,1,1,1,1,1
254,0,0,0,1,0,0
255,1,0,0,0,0,0
256,0,0,0,1,0,0
257,1,1,1,1,0,1
258,0,0,0,0,0,0
259,0,0,0,0,0,0
260,0,0,0,0,0,0
261,0,0,0,0,0,0
262,1,1,1,1,1,1
263,0,1,0,1,0,0
264,0,0,0,0,1,0
265,1,1,1,1,0,1
266,1,1,1,1,1,1
267,0,1,0,0,1,1
268,1,1,1,1,1,1
269,0,0,0,0,0,0
270,0,0,0,0,0,0
271,1,1,1,1,1,1
272,1,1,1,1,1,1
273,1,1,1,1,1,0
274,1,1,1,1,1,1
275,0,1,0,0,0,0
276,0,0,0,0,0,0
277,1,1,1,1,1,1
278,0,0,0,0,0,0
279,1,1,1,1,1,1
280,1,1,0,1,0,1
281,1,1,1,1,1,1
282,0,0,0,0,0,0
283,0,0,0,1,1,0
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,0,0,0,0,0,0
287,1,0,0,0,1,0
288,0,0,0,0,0,0
289,0,0,0,1,1,0
290,0,0,0,0,0,0
291,0,0,0,0,1,0
292,0,0,0,0,0,0
293,1,1,0,1,1,1
294,0,0,0,0,0,0
295,1,1,0,0,0,0
296,0,1,0,0,0,0
297,1,1,1,1,1,1
298,0,0,0,0,0,0
299,1,0,0,0,0,0
300,0,0,0,0,0,0
301,0,0,0,0,0,0
302,0,0,0,0,0,0
303,0,0,0,0,0,1
304,0,0,0,0,0,0
305,1,1,1,1,1,1
306,1,1,1,1,1,1
307,0,0,0,0,0,0
308,0,0,0,1,0,0
309,1,1,0,1,1,1
310,0,0,0,0,0,0
311,0,1,0,0,0,0
312,0,1,0,0,0,0
313,1,0,0,1,0,0
314,1,1,1,1,1,1
315,1,1,1,1,1,1
316,0,0,0,0,0,0
317,0,0,0,0,0,0
318,1,1,1,0,0,1
319,0,0,0,0,0,0
320,0,0,0,0,0,0
321,0,0,0,0,0,0
322,1,1,0,1,1,1
323,0,0,0,0,1,0
324,0,0,0,0,0,0
325,1,1,1,1,1,1
326,1,1,1,1,1,1
327,0,0,0,0,0,0
328,0,0,0,1,0,0
329,0,0,0,0,1,0
330,0,0,0,0,0,0
331,0,0,0,0,0,0
332,1,0,1,1,0,1
333,0,0,0,0,0,0
334,0,0,0,0,0,0
335,0,1,0,0,0,0
336,0,0,0,0,1,0
337,1,0,1,1,1,1
338,1,1,1,0,1,1
339,0,0,0,0,1,0
340,0,0,1,0,0,0
341,0,0,0,0,0,0
342,0,0,0,0,0,0
343,1,0,0,0,0,0
344,0,0,0,1,0,0
345,0,0,0,0,0,0
346,0,0,0,1,0,0
347,0,0,0,0,0,0
348,0,0,1,0,0,0
349,0,0,0,0,1,0
350,0,0,0,0,0,0
351,0,0,0,0,0,0
352,1,1,1,1,1,1
353,0,0,1,0,0,0
354,0,1,1,0,0,1
355,0,0,0,0,0,1
356,0,0,0,0,0,0
357,0,1,0,0,1,0
358,0,0,0,0,0,1
359,1,1,1,1,1,1
360,0,0,0,0,0,0
361,0,0,0,0,0,0
362,0,1,0,0,0,0
363,0,0,0,0,0,0
364,0,0,0,1,0,1
365,0,1,1,1,1,0
366,0,0,0,0,0,0
367,1,1,1,0,1,1
368,1,1,1,1,1,1
369,0,0,0,0,0,0
370,1,0,0,0,0,0
371,0,0,0,0,0,0
372,0,0,0,0,0,0
373,0,0,0,0,1,0
374,0,0,0,1,0,0
375,1,0,0,0,0,0
376,1,0,0,0,0,0
377,1,1,1,1,1,1
378,0,0,1,0,0,0
379,1,0,0,0,1,1
380,0,1,0,0,0,0
381,0,0,0,0,0,0
382,0,0,1,0,0,0
383,0,0,0,0,0,0
384,1,1,1,1,1,1
385,1,1,1,1,1,0
386,1,1,1,1,0,1
387,0,0,1,0,0,0
388,0,0,0,0,0,0
389,1,0,1,0,1,1
390,1,1,1,1,1,1
391,0,1,0,1,1,1
392,0,0,0,0,0,0
393,0,0,0,0,0,0
394,1,1,1,1,1,1
395,0,0,0,0,0,0
396,0,1,1,1,1,1
397,1,1,1,1,1,0
398,1,0,1,0,0,1
399,1,1,1,1,1,1
400,1,1,1,1,1,1
401,0,0,0,0,0,0
402,1,1,1,1,1,1
403,0,0,0,0,0,0
404,1,1,0,1,1,1
405,0,0,0,0,0,1
406,0,1,1,1,0,1
407,0,0,0,0,0,0
408,0,0,0,0,0,0
409,1,0,1,1,1,1
410,0,0,0,1,0,0
411,0,0,0,0,0,0
412,1,1,1,1,0,1
413,1,1,1,1,1,1
414,0,0,1,0,0,1
415,0,0,0,0,0,0
416,0,0,0,0,0,0
417,0,0,0,0,0,0
418,0,0,1,0,0,0
419,0,0,0,0,0,0
420,1,1,1,1,1,1
421,0,1,1,1,1,1
422,1,1,0,1,1,1
423,0,0,0,0,0,0
424,0,0,0,0,0,0
425,0,0,0,0,0,0
426,0,0,0,0,0,0
427,0,0,0,0,0,0
428,0,1,1,1,1,1
429,0,0,0,0,0,0
430,0,0,0,0,0,0
431,0,0,0,0,1,0
432,1,1,0,1,1,1
433,0,0,0,0,0,0
434,0,0,0,0,0,0
435,0,0,0,0,0,0
436,0,1,1,1,1,1
437,0,0,0,0,0,0
438,1,1,1,0,1,0
439,1,0,1,1,1,1
440,0,0,0,0,0,0
441,0,0,0,0,1,0
442,1,1,1,1,0,1
443,0,0,0,0,0,0
444,0,0,0,0,0,0
445,1,1,1,1,1,1
446,1,1,1,1,1,1
447,1,1,1,1,1,1
448,1,1,1,1,1,1
449,0,0,0,0,1,0
450,1,0,0,0,0,0
451,1,1,1,1,1,1
452,0,0,1,1,0,0
453,0,0,0,0,0,0
454,1,0,1,1,1,1
455,0,0,0,0,1,0
456,1,0,0,0,0,0
457,0,0,0,0,0,0
458,0,0,0,0,0,0
459,0,0,0,0,0,0
460,0,0,0,0,0,0
461,0,1,0,1,1,0
462,0,0,0,0,0,0
463,1,1,1,1,1,1
464,0,0,0,1,1,0
465,1,1,1,1,0,1
466,0,0,0,0,0,1
467,0,1,0,0,0,0
468,0,1,1,1,1,1
469,0,0,0,0,0,1
470,1,1,1,1,1,1
471,0,0,0,0,0,0
472,1,1,1,1,1,1
473,0,0,0,0,0,0
474,1,1,1,1,1,1
475,0,0,0,0,0,0
476,1,1,1,1,1,1
477,0,0,0,0,1,0
478,0,0,0,0,0,0
479,1,1,1,1,1,1
480,0,0,0,0,0,1
481,0,0,0,0,0,0
482,0,0,0,0,0,0
483,0,0,0,0,0,0
484,0,0,0,1,0,0
485,0,0,0,0,0,0
486,1,1,1,1,1,1
487,1,0,0,1,0,0
488,0,0,0,0,0,0
489,0,1,1,1,1,1
490,1,1,0,1,1,1
491,0,0,0,0,0,0
