Meals,Words,n,,,
Breakfast,dry oats,14,,,
Breakfast,skim(med) milk,25,,,
Breakfast,whole grain,29,,,
Breakfast,grain toast,17,,,
Breakfast,light cream,1,,,
Breakfast,cream cheese,1,,,
Breakfast,non-fat greek,2,,,
Breakfast,fresh strawberries,8,,,
Breakfast,scrambled egg(s),8,,,
Breakfast,grain bread,1,,,
Breakfast,large eggs,1,,,
Breakfast,grain cereal,11,,,
Breakfast,low-fat greek,12,,,
Breakfast,greek yogurt,14,,,
Breakfast,fresh mixed,5,,,
Breakfast,mixed berries,5,,,
Breakfast,egg whites,7,,,
Breakfast,fresh berries,8,,,
Breakfast,green tea,16,,,
Breakfast,sliced banana,5,,,
Breakfast,low-fat cottage,7,,,
Breakfast,cottage cheese,7,,,
Breakfast,sliced strawberries,7,,,
Breakfast,fresh blueberries,5,,,
Breakfast,ground flaxseed,10,,,
Breakfast,almond butter,1,,,
Breakfast,black coffee,12,,,
Breakfast,herbal tea,12,,,
Lunch,grain bread,15,,,
Lunch,whole grain,15,,,
Lunch,low-fat dressing,1,,,
Lunch,grilled chicken,19,,,
Lunch,mixed green(s),20,,,
Lunch,cherry tomatoes,28,,,
Lunch,chicken breast,19,,,
Lunch,wheat bread,10,,,
Lunch,chicken salad,11,,,
Lunch,cucumber slices,17,,,
Lunch,turkey sandwich,15,,,
Lunch,sliced turkey,26,,,
Lunch,turkey breast,26,,,
Lunch,carrot sticks,23,,,
Lunch,vegetable soup,2,,,
Lunch,green(s) salad,3,,,
Lunch,lemon juice,2,,,
Lunch,whole wheat,30,,,
Lunch,wheat pita,6,,,
Lunch,pita bread,6,,,
Lunch,grilled vegetable(s),2,,,
Lunch,vegetable wrap,9,,,
Lunch,wheat tortilla,11,,,
Lunch,bell peppers,1,,,
Lunch,side salad,2,,,
Lunch,balsamic vinegar,18,,,
Lunch,low-fat cottage,3,,,
Lunch,cottage cheese,3,,,
Lunch,quinoa salad,1,,,
Lunch,cooked quinoa,1,,,
Lunch,diced tomatoes,1,,,
Lunch,sliced cucumber,11,,,
Lunch,chopped bell,1,,,
Lunch,cucumber sticks,1,,,
Lunch,steamed green,1,,,
Lunch,green beans,1,,,
Lunch,baby carrots,3,,,
Lunch,wheat wrap,1,,,
Lunch,spinach leaves,9,,,
Lunch,wheat crackers,3,,,
Lunch,low-fat yogurt,1,,,
Lunch,salad sandwich,1,,,
Lunch,turkey wrap,7,,,
Lunch,hummus wrap,1,,,
Lunch,small side,1,,,
Lunch,greek yogurt,10,,,
Dinner,baked fish,19,,,
Dinner,steamed broccoli,25,,,
Dinner,white fish,3,,,
Dinner,mixed vegetables,6,,,
Dinner,bell peppers,11,,,
Dinner,olive oil,45,,,
Dinner,grilled vegetable,1,,,
Dinner,tofu stir-fry,1,,,
Dinner,soy sauce,1,,,
Dinner,brown rice,26,,,
Dinner,baked salmon,2,,,
Dinner,steamed asparagus,9,,,
Dinner,small side,3,,,
Dinner,side salad,35,,,
Dinner,baked chicken,2,,,
Dinner,chicken breast,22,,,
Dinner,sweet potato,2,,,
Dinner,strawberry slices,1,,,
Dinner,balsamic vinaigrette,1,,,
Dinner,grilled fish,1,,,
Dinner,steamed green,7,,,
Dinner,green beans,7,,,
Dinner,mixed greens,41,,,
Dinner,cherry tomatoes,14,,,
Dinner,lemon juice,14,,,
Dinner,baked cod,1,,,
Dinner,steamed fish,11,,,
Dinner,steamed vegetables,1,,,
Dinner,baked tilapia,1,,,
Dinner,balsamic vinegar,26,,,
Dinner,greens salad,8,,,
Dinner,grilled chicken,20,,,
Dinner,sliced bell,9,,,
Dinner,cooked brown,18,,,
Dinner,steamed mixed,4,,,
Dinner,sliced cucumber,5,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
