Timely_and_healthy_shopping,Time_saving,Healthy_shopping,Neither
7,6,5,6
6,6,5,5
6,6,6,3
5,6,3,4
6,5,6,6
6,6,7,7
6,6,6,2
6,7,3,2
7,6,5,1
6,6,6,3
6,6,5,3
6,6,5,7
5,6,2,4
7,6,,2
6,6,,5
7,3,,5
7,3,,3
5,4,,7
5,5,,5
7,1,,3
7,4,,6
6,6,,6
5,6,,3
6,5,,7
7,6,,6
6,6,,6
7,5,,5
7,6,,6
7,5,,6
5,1,,3
6,5,,3
6,5,,1
6,5,,5
5,5,,5
5,6,,
5,3,,
6,7,,
5,6,,
4,6,,
7,6,,
5,3,,
6,6,,
7,7,,
5,5,,
5,7,,
6,5,,
5,6,,
6,6,,
5,5,,
6,5,,
6,7,,
6,5,,
6,5,,
6,6,,
6,6,,
6,6,,
5,6,,
6,6,,
6,5,,
5,6,,
7,5,,
7,4,,
6,,,
6,,,
5,,,
6,,,
6,,,
5,,,
6,,,
5,,,
6,,,
7,,,
6,,,
7,,,
7,,,
6,,,
6,,,
2,,,
6,,,
6,,,
6,,,
5,,,
6,,,
6,,,
7,,,
7,,,
