Meal,Words,n
Dinner,baked fish,19
Dinner,steamed broccoli,25
Dinner,white fish,3
Dinner,mixed vegetables,6
Dinner,bell peppers (sliced),11
Dinner,olive oil,45
Dinner,grilled vegetable,1
Dinner,tofu stir-fry,1
Dinner,soy sauce,1
Dinner,brown rice (cooked),26
Dinner,baked salmon,2
Dinner,steamed asparagus,10
Dinner,small side side salad,35
Dinner,baked chicken,2
Dinner,chicken breast,22
Dinner,sweet potato,2
Dinner,strawberry slices,1
Dinner,balsamic vinaigrette,1
Dinner,grilled fish,1
Dinner,steamed green beans,7
Dinner,mixed greens,41
Dinner,cherry tomatoes,14
Dinner,lemon juice,14
Dinner,baked cod,1
Dinner,steamed fish,10
Dinner,steamed vegetables,1
Dinner,baked tilapia,1
Dinner,balsamic vinegar,26
Dinner,greens salad,8
Dinner,grilled chicken,20
Dinner,cucumber (sliced),5
