	Unnamed: 0	author	published_at	updated_at	like_count	text	newtext
0	0.0	RybackTV	2020-06-05T13:19:44Z	2020-06-05T13:19:44Z	36	"Checkout the entire Feed Me More Nutrition line at <a href=""http://feedmemore.com/"">FeedMeMore.com</a> and save 10% with YOUTUBE10 and for all NEW 1st Time Buyers Save 20% for your 1st Time with code NEWCUSTOMER at checkout. "	"Checkout the entire Feed Me More Nutrition line at <a href="" and save 10% with YOUTUBE10 and for all NEW 1st Time Buyers Save 20% for your 1st Time with code NEWCUSTOMER at checkout."
1	1.0	jerryboykin9563	2024-01-31T02:48:17Z	2024-01-31T02:48:17Z	0	Lol	Lol
2	3.0	timmanka6653	2023-11-23T01:26:37Z	2023-11-23T01:26:37Z	0	Happy Thanksgiving Ryback	Happy Thanksgiving Ryback
3	4.0	KiddJackson42	2023-11-10T13:19:07Z	2023-11-10T13:19:07Z	0	Can you do a wendys breakfast challenge	Can you do a wendys breakfast challenge
4	5.0	donaldwhitlow-yz9cj	2023-07-12T18:46:28Z	2023-07-12T18:46:28Z	0	Will you snap your head and say stupid you make me laugh man thank you for making me laugh. I need to go out brother. Thank you for you and your beautiful family. Have a blessed day.	Will you snap your head and say stupid you make me laugh man thank you for making me laugh. I need to go out brother. Thank you for you and your beautiful family. Have a blessed day.
5	6.0	donaldwhitlow-yz9cj	2023-07-12T18:43:00Z	2023-07-12T18:43:00Z	0	The food looks good	The food looks good
6	7.0	donaldwhitlow-yz9cj	2023-07-12T18:42:35Z	2023-07-12T18:42:35Z	0	You are always jacked my brother with all those big muscles you have a surprise you can get in that damn truck. I watch that when you were backstage a cane was back there with the food cart and you threw him those bag of peanuts and you said what you said I laughed my ass off brother that was funny as fuck.	You are always jacked my brother with all those big muscles you have a surprise you can get in that damn truck. I watch that when you were backstage a cane was back there with the food cart and you threw him those bag of peanuts and you said what you said I laughed my ass off brother that was funny as fuck.
7	8.0	travisstinson6710	2022-12-02T22:37:28Z	2022-12-02T22:37:28Z	0	You should do a Popeyes chicken sandwich review spicy chicken sandwich vs no spicy chicken sandwich Popeyes is my favorite meal	You should do a Popeyes chicken sandwich review spicy chicken sandwich vs no spicy chicken sandwich Popeyes is my favorite meal
8	9.0	joseenolet6195	2022-11-06T11:25:59Z	2022-11-06T11:25:59Z	0	Your welcome	Your welcome
9	10.0	SplitSpine85	2022-09-19T23:55:16Z	2022-09-19T23:55:33Z	0	You got a Famous Fucking; Bowl? Is that some awesome new add-on to the regular Famous Bowl? 	You got a Famous Fucking; Bowl? Is that some awesome new add-on to the regular Famous Bowl?
10	11.0	sunnyn9017	2022-07-21T23:35:11Z	2022-07-21T23:35:11Z	0	Support Ryback!!!!!	Support Ryback!!!!!
11	14.0	williamhudgins7181	2022-04-18T09:37:02Z	2022-04-18T09:37:02Z	0	It&#39;s 26 minutes and 10 seconds	It&#39;s 26 minutes and 10 seconds
12	15.0	williamhudgins7181	2022-04-18T09:34:10Z	2022-04-18T09:34:10Z	0	Get those KFC Bowls for your family.  They&#39;re good	Get those KFC Bowls for your family. They&#39;re good
13	16.0	realreviews4102	2022-03-28T21:29:23Z	2022-03-28T21:29:23Z	0	Those minutes really matter Facts and with Postmates they never include ketchup and most definitely not ranch	Those minutes really matter Facts and with Postmates they never include ketchup and most definitely not ranch
14	17.0	cozeetrax7430	2022-03-13T13:14:08Z	2022-03-13T13:14:08Z	0	only good food review channel	only good food review channel
15	18.0	cozeetrax7430	2022-03-13T13:13:49Z	2022-03-13T13:13:49Z	0	w videos w reviews	w videos w reviews
16	19.0	krogge10	2022-02-23T13:49:43Z	2022-02-23T13:49:43Z	0	This grease is alittle concerningnlmao fast food always looks good but never tastes that good lol thanks for the video	This grease is alittle concerningnlmao fast food always looks good but never tastes that good lol thanks for the video
