food_category,food_name,n
Fruits and Vegetables,"Tomato (cherry, sliced,diced,",61
Fruits and Vegetables,"Cucumber (sliced, whole, diced, sticks)",34
Fruits and Vegetables,"Broccoli (steamed, fresh",30
Fruits and Vegetables,"Strawberries (fresh, diced, sliced",21
Fruits and Vegetables,"Blueberries (fresh, sliced)",20
Fruits and Vegetables,Lettuce,17
Fruits and Vegetables,Raspberries,16
Fruits and Vegetables,"Apple (small, medium",16
Fruits and Vegetables,"Bell pepper (sliced, steamed,",15
Fruits and Vegetables,"Orange (small, medium, fresh",14
Fruits and Vegetables,"Berries (fresh, mixed)",13
Fruits and Vegetables,Spinach,13
Fruits and Vegetables,"Banana (sliced, diced, small, medium)",12
Fruits and Vegetables,"Carrot (whole, diced, sticks, steamed)",10
Fruits and Vegetables,Asparagus (steamed),10
Fruits and Vegetables,Green beans (steamed),8
Fruits and Vegetables,"Cauliflower (steamed, sliced)",4
Fruits and Vegetables,Onions,4
Fruits and Vegetables,"Sweet Potato (small, baked)",3
Fruits and Vegetables,Mixed green salad,2
Fruits and Vegetables,"Zucchini (grilled, fresh, sliced",2
Fruits and Vegetables,Grapefruit,2
Fruits and Vegetables,"Celery (sliced, diced",1
