Meals,Words,n
Breakfast,whole grain,41
Breakfast,grain toast,38
Breakfast,scrambled egg,21
Breakfast,egg whites,19
Breakfast,cooking spray,19
Breakfast,low-fat cooking,19
Breakfast,fresh mixed,18
Breakfast,mixed berries,18
Breakfast,low-fat cream,18
Breakfast,cream cheese,18
Breakfast,black coffee,15
Breakfast,herbal tea,15
Breakfast,skim milk,13
Breakfast,greek yogurt,13
Breakfast,low-fat greek,13
Breakfast,almond butter,11
Breakfast,green tea,6
Breakfast,fresh blueberries,6
Breakfast,fresh orange,6
Breakfast,fresh strawberries,5
Breakfast,fresh berries,5
Breakfast,grain cereal,3
Breakfast,sliced banana,2
Breakfast,orange juice,2
Breakfast,small banana,2
Breakfast,fresh grapefruit,2
Breakfast,small orange,2
Breakfast,sliced avocado,1
Breakfast,sliced tomato,1
Breakfast,whole wheat,1
Breakfast,wheat toast,1
Breakfast,sliced strawberries,1
Breakfast,small apple,1
Breakfast,medium banana,1
Breakfast,medium orange,1
Lunch,mixed green,24
Lunch,grilled chicken,23
Lunch,chicken breast,23
Lunch,low-fat dressing,23
Lunch,cherry tomatoes,22
Lunch,chicken salad,18
Lunch,small apple,17
Lunch,turkey breast,16
Lunch,carrot sticks,16
Lunch,pita bread,15
Lunch,Whole grain bread,15
Lunch,Turkey sandwich,14
Lunch,medium apple,12
Lunch,whole wheat,12
Lunch,Whole grain pita,12
Lunch,celery sticks,8
Lunch,cucumber sticks,7
Lunch,medium banana,7
Lunch,Grilled vegetable,6
Lunch,bell peppers,6
Lunch,Low-fat Greek,5
Lunch,Greek yogurt,5
Lunch,wheat bread,4
Lunch,vegetable wrap,4
Lunch,medium orange,4
Lunch,green salad,4
Lunch,wheat wrap,4
Lunch,wheat pita,3
Lunch,iced tea,3
Lunch,Whole grain roll,3
Lunch,unsweetened iced,2
Lunch,breast sandwich,2
Lunch,whole grain,2
Lunch,grain crackers,2
Lunch,vegetable salad,2
Lunch,grilled bell,2
Lunch,small orange,2
Lunch,lemon water,1
Lunch,vegetable soup,1
Lunch,lemon juice,1
Lunch,brown rice,1
Lunch,tuna salad,1
Lunch,wheat crackers,1
Lunch,diced celery,1
Lunch,low-fat mayonnaise,1
Dinner,side salad,40
Dinner,cherry tomatoes,40
Dinner,mixed greens,40
Dinner,greek yogurt,25
Dinner,brown rice,20
Dinner,vinegar dressing,20
Dinner,baked salmon,19
Dinner,steamed mixed,19
Dinner,mixed vegetables,19
Dinner,balsamic vinegar,19
Dinner,steamed broccoli,14
Dinner,baked tilapia,12
Dinner,steamed green,10
Dinner,green beans,10
Dinner,bell pepper,10
Dinner,low-fat vinaigrette,10
Dinner,low-fat italian,9
Dinner,italian dressing,9
Dinner,chicken breast,8
Dinner,baked cod,5
Dinner,steamed brown,5
Dinner,steamed asparagus,4
Dinner,grilled chicken,4
Dinner,baked chicken,4
Dinner,sweet potato,3
Dinner,small apple,3
Dinner,small apple,3
Dinner,medium apple,3
Dinner,herbal tea,2
Dinner,small baked,2
Dinner,baked sweet,2
Dinner,baked fish,2
Dinner,grilled salmon,2
Dinner,grilled white,1
Dinner,green salad,1
Dinner,white fish,1
Dinner,mixed berries,1
Dinner,carrot sticks,1
Dinner,celery sticks,1
Dinner,small sweet,1
