Meals,Words,n
Lunch,grilled chicken,23
Lunch,mixed green,24
Lunch,cherry tomatoes,22
Lunch,chicken breast,23
Lunch,unsweetened iced,2
Lunch,wheat bread,4
Lunch,turkey breast,16
Lunch,carrot sticks,16
Lunch,lemon water,1
Lunch,breast sandwich,2
Lunch,Grilled vegetable,6
Lunch,vegetable wrap,4
Lunch,chicken salad,18
Lunch,wheat pita,3
Lunch,pita bread,15
Lunch,iced tea,3
Lunch,Turkey sandwich,14
Lunch,small apple,17
Lunch,celery sticks,8
Lunch,whole grain,2
Lunch,medium orange,4
Lunch,grain crackers,2
Lunch,vegetable soup,1
Lunch,medium apple,12
Lunch,Low-fat Greek,5
Lunch,Greek yogurt,5
Lunch,cucumber sticks,7
Lunch,lemon juice,1
Lunch,whole wheat,12
Lunch,green salad,4
Lunch,brown rice,1
Lunch,Whole grain bread,15
Lunch,tuna salad,1
Lunch,wheat crackers,1
Lunch,medium banana,7
Lunch,low-fat dressing,23
Lunch,diced celery,1
Lunch,low-fat mayonnaise,1
Lunch,vegetable salad,2
Lunch,bell peppers,6
Lunch,grilled bell,2
Lunch,Whole grain pita,12
Lunch,small orange,2
Lunch,wheat wrap,4
Lunch,Whole grain roll,3
