Meals,Words,n,tf,idf,tf_idf
Breakfast,almond butter 1 0,0,3571429 1.0,986123,0.039236153
Breakfast,black coffee,1,0.03571429,1.0986123,0.039236153
Breakfast,cream cheese,1,0.03571429,1.0986123,0.039236153
Breakfast,dry oats,1,0.03571429,1.0986123,0.039236153
Breakfast,egg whites,1,0.03571429,1.0986123,0.039236153
Breakfast,fresh berries,1,0.03571429,1.0986123,0.039236153
Breakfast,fresh blueberries,1,0.03571429,1.0986123,0.039236153
Breakfast,fresh mixed,1,0.03571429,1.0986123,0.039236153
Breakfast,fresh strawberries,1,0.03571429,1.0986123,0.039236153
Breakfast,grain cereal,1,0.03571429,1.0986123,0.039236153
Breakfast,grain toast,1,0.03571429,1.0986123,0.039236153
Breakfast,green tea,1,0.03571429,1.0986123,0.039236153
Breakfast,ground flaxseed,1,0.03571429,1.0986123,0.039236153
Breakfast,herbal tea,1,0.03571429,1.0986123,0.039236153
Breakfast,large eggs,1,0.03571429,1.0986123,0.039236153
Breakfast,light cream,1,0.03571429,1.0986123,0.039236153
Breakfast,low-fat greek,1,0.03571429,1.0986123,0.039236153
Breakfast,mixed berries,1,0.03571429,1.0986123,0.039236153
Breakfast,non-fat greek,1,0.03571429,1.0986123,0.039236153
Breakfast,scrambled egg(s),1,0.03571429,1.0986123,0.039236153
Breakfast,skim(med) milk,1,0.03571429,1.0986123,0.039236153
Breakfast,sliced banana,1,0.03571429,1.0986123,0.039236153
Breakfast,sliced strawberries,1,0.03571429,1.0986123,0.039236153
Dinner,baked chicken,1,0.02777778,1.0986123,0.030517008
Dinner,baked cod,1,0.02777778,1.0986123,0.030517008
Dinner,baked fish,1,0.02777778,1.0986123,0.030517008
Dinner,baked salmon,1,0.02777778,1.0986123,0.030517008
Dinner,baked tilapia,1,0.02777778,1.0986123,0.030517008
Dinner,balsamic vinaigrette,1,0.02777778,1.0986123,0.030517008
Dinner,brown rice,1,0.02777778,1.0986123,0.030517008
Dinner,cooked brown,1,0.02777778,1.0986123,0.030517008
Dinner,greens salad,1,0.02777778,1.0986123,0.030517008
Dinner,grilled fish,1,0.02777778,1.0986123,0.030517008
Dinner,grilled vegetable,1,0.02777778,1.0986123,0.030517008
Dinner,mixed greens,1,0.02777778,1.0986123,0.030517008
Dinner,mixed vegetables,1,0.02777778,1.0986123,0.030517008
Dinner,olive oil,1,0.02777778,1.0986123,0.030517008
Dinner,sliced bell,1,0.02777778,1.0986123,0.030517008
Dinner,soy sauce,1,0.02777778,1.0986123,0.030517008
