Words,n,tf,idf,tf_idf
almond butter 1 0,0,3571429 1.0,986123,0.039236153
black coffee,1,0.03571429,1.0986123,0.039236153
cream cheese,1,0.03571429,1.0986123,0.039236153
dry oats,1,0.03571429,1.0986123,0.039236153
egg whites,1,0.03571429,1.0986123,0.039236153
fresh berries,1,0.03571429,1.0986123,0.039236153
fresh blueberries,1,0.03571429,1.0986123,0.039236153
fresh mixed,1,0.03571429,1.0986123,0.039236153
fresh strawberries,1,0.03571429,1.0986123,0.039236153
grain cereal,1,0.03571429,1.0986123,0.039236153
grain toast,1,0.03571429,1.0986123,0.039236153
green tea,1,0.03571429,1.0986123,0.039236153
ground flaxseed,1,0.03571429,1.0986123,0.039236153
herbal tea,1,0.03571429,1.0986123,0.039236153
large eggs,1,0.03571429,1.0986123,0.039236153
light cream,1,0.03571429,1.0986123,0.039236153
low-fat greek,1,0.03571429,1.0986123,0.039236153
mixed berries,1,0.03571429,1.0986123,0.039236153
non-fat greek,1,0.03571429,1.0986123,0.039236153
scrambled egg(s),1,0.03571429,1.0986123,0.039236153
skim(med) milk,1,0.03571429,1.0986123,0.039236153
sliced banana,1,0.03571429,1.0986123,0.039236153
sliced strawberries,1,0.03571429,1.0986123,0.039236153
baked chicken,1,0.02777778,1.0986123,0.030517008
baked cod,1,0.02777778,1.0986123,0.030517008
baked fish,1,0.02777778,1.0986123,0.030517008
baked salmon,1,0.02777778,1.0986123,0.030517008
baked tilapia,1,0.02777778,1.0986123,0.030517008
balsamic vinaigrette,1,0.02777778,1.0986123,0.030517008
brown rice,1,0.02777778,1.0986123,0.030517008
cooked brown,1,0.02777778,1.0986123,0.030517008
greens salad,1,0.02777778,1.0986123,0.030517008
grilled fish,1,0.02777778,1.0986123,0.030517008
grilled vegetable,1,0.02777778,1.0986123,0.030517008
mixed greens,1,0.02777778,1.0986123,0.030517008
mixed vegetables,1,0.02777778,1.0986123,0.030517008
olive oil,1,0.02777778,1.0986123,0.030517008
sliced bell,1,0.02777778,1.0986123,0.030517008
soy sauce,1,0.02777778,1.0986123,0.030517008
steamed asparagus,1,0.02777778,1.0986123,0.030517008
steamed broccoli,1,0.02777778,1.0986123,0.030517008
steamed fish,1,0.02777778,1.0986123,0.030517008
steamed mixed,1,0.02777778,1.0986123,0.030517008
steamed vegetables,1,0.02777778,1.0986123,0.030517008
strawberry slices,1,0.02777778,1.0986123,0.030517008
sweet potato,1,0.02777778,1.0986123,0.030517008
tofu stir-fry,1,0.02777778,1.0986123,0.030517008
white fish,1,0.02777778,1.0986123,0.030517008
baby carrots,1,0.02173913,1.0986123,0.023882876
carrot sticks,1,0.02173913,1.0986123,0.023882876
chicken salad,1,0.02173913,1.0986123,0.023882876
chopped bell,1,0.02173913,1.0986123,0.023882876
cooked quinoa,1,0.02173913,1.0986123,0.023882876
cucumber slices,1,0.02173913,1.0986123,0.023882876
cucumber sticks,1,0.02173913,1.0986123,0.023882876
diced tomatoes,1,0.02173913,1.0986123,0.023882876
green(s) salad,1,0.02173913,1.0986123,0.023882876
grilled vegetable(s),1,0.02173913,1.0986123,0.023882876
hummus wrap,1,0.02173913,1.0986123,0.023882876
low-fat dressing,1,0.02173913,1.0986123,0.023882876
low-fat yogurt,1,0.02173913,1.0986123,0.023882876
mixed green(s),1,0.02173913,1.0986123,0.023882876
pita bread,1,0.02173913,1.0986123,0.023882876
quinoa salad,1,0.02173913,1.0986123,0.023882876
salad sandwich,1,0.02173913,1.0986123,0.023882876
sliced turkey,1,0.02173913,1.0986123,0.023882876
spinach leaves,1,0.02173913,1.0986123,0.023882876
turkey breast,1,0.02173913,1.0986123,0.023882876
turkey sandwich,1,0.02173913,1.0986123,0.023882876
turkey wrap,1,0.02173913,1.0986123,0.023882876
vegetable soup,1,0.02173913,1.0986123,0.023882876
vegetable wrap,1,0.02173913,1.0986123,0.023882876
wheat bread,1,0.02173913,1.0986123,0.023882876
wheat crackers,1,0.02173913,1.0986123,0.023882876
wheat pita,1,0.02173913,1.0986123,0.023882876
wheat tortilla,1,0.02173913,1.0986123,0.023882876
wheat wrap,1,0.02173913,1.0986123,0.023882876
whole wheat,1,0.02173913,1.0986123,0.023882876
cottage cheese,1,0.03571429,0.4054651,0.014480897
grain bread,1,0.03571429,0.4054651,0.014480897
greek yogurt,1,0.03571429,0.4054651,0.014480897
low-fat cottage,1,0.03571429,0.4054651,0.014480897
whole grain,1,0.03571429,0.4054651,0.014480897
balsamic vinegar,1,0.02777778,0.4054651,0.01126292
bell peppers,1,0.02777778,0.4054651,0.01126292
cherry tomatoes,1,0.02777778,0.4054651,0.01126292
chicken breast,1,0.02777778,0.4054651,0.01126292
green beans,1,0.02777778,0.4054651,0.01126292
grilled chicken,1,0.02777778,0.4054651,0.01126292
lemon juice,1,0.02777778,0.4054651,0.01126292
side salad,1,0.02777778,0.4054651,0.01126292
sliced cucumber,1,0.02777778,0.4054651,0.01126292
small side,1,0.02777778,0.4054651,0.01126292
steamed green,1,0.02777778,0.4054651,0.01126292
balsamic vinegar,1,0.02173913,0.4054651,0.008814459
bell peppers,1,0.02173913,0.4054651,0.008814459
cherry tomatoes,1,0.02173913,0.4054651,0.008814459
chicken breast,1,0.02173913,0.4054651,0.008814459
cottage cheese,1,0.02173913,0.4054651,0.008814459
grain bread,1,0.02173913,0.4054651,0.008814459
greek yogurt,1,0.02173913,0.4054651,0.008814459
green beans,1,0.02173913,0.4054651,0.008814459
grilled chicken,1,0.02173913,0.4054651,0.008814459
lemon juice,1,0.02173913,0.4054651,0.008814459
low-fat cottage,1,0.02173913,0.4054651,0.008814459
side salad,1,0.02173913,0.4054651,0.008814459
sliced cucumber,1,0.02173913,0.4054651,0.008814459
small side,1,0.02173913,0.4054651,0.008814459
steamed green,1,0.02173913,0.4054651,0.008814459
whole grain,1,0.02173913,0.4054651,0.008814459
