Meals,Words,n
Breakfast,"syrup _agave, maple and others_",52
Breakfast,"banana _sliced, whole and others_",47
Breakfast,"chia_seed _plain, pudding and others_",33
Breakfast,nut_free milk,24
Breakfast,bread _whole_wheat and others_,21
Breakfast,toast _avocado and others_,21
Breakfast,flaxseed,20
Breakfast,soy milk,20
Breakfast,"whole_grain bread _toast, artisanal, etc._",19
Breakfast,spinach,18
Breakfast,granola _nut_free and others_,18
Breakfast,vegan pancakes,18
Breakfast,flour,18
Breakfast,smoothie _spinach and others_,18
Breakfast,"avocado _plain, wrap, toast and others_",17
Breakfast,oatmeal _all flavours e.g. banana_,17
Breakfast,sugar,16
Breakfast,mixed berries,16
Breakfast,yogurt _dairy_free and vegan_,16
Breakfast,almond milk,15
Breakfast,blueberries,14
Breakfast,"pineapple _fresh, slices and others_",13
Breakfast,orange _slices and others_,12
Breakfast,"strawberries _fresh, sliced, and others_",11
Breakfast,"apples _sliced, baked, and others_",5
Breakfast,"mango _plain, slices, and salad_",5
Breakfast,"kiwi _plain, slices, and salad_",5
Breakfast,baking powder,5
Breakfast,cinnamon,5
Breakfast,seasoned salt,5
Breakfast,seasoned pepper,4
Breakfast,vegan french toast,4
Breakfast,honey,3
Breakfast,bread _not_specific_,2
Breakfast,"tomato _sliced, cherry, and others_",1
Breakfast,"juice _carrot, lemon, orange, etc._",1
Breakfast,mixed_nuts _nut_free option_,1
Breakfast,raspberries,1
Breakfast,vanilla extract,1
Dinner,"bell pepper _stuffed, sautéed, etc._",66
Dinner,"vegetables _crunchy, skewered, etc._",60
Dinner,"rice _sushi, jasmine, brown, etc._",41
Dinner,"tomato _sliced, cherry, and others_",38
Dinner,"tofu _vegan, stir_fry and others_",30
Dinner,"mushrooms _stroganoff, vegan, etc._",29
Dinner,peas _snap and others_,26
Dinner,"carrots _stir_fry, sticks, and others_",23
Dinner,"black beans _plain, salad and others_",22
Dinner,"spices _curry, and others_",21
Dinner,vegetable broth,20
Dinner,onion _red and others_,18
Dinner,tomato sauce,18
Dinner,"soy _sesame dressing, plain sauce and others_",18
Dinner,broccoli _stir_fry and others_,17
Dinner,salsa,15
Dinner,vegan paella,15
Dinner,artichokes,15
Dinner,mushroom risotto,15
Dinner,saffron,15
Dinner,vegan cheese,14
Dinner,sesame oil,14
Dinner,vegan pizza _base and others_,13
Dinner,vegan chilli,12
Dinner,kidney beans,12
Dinner,"potatoes _mashed, sweet, and others_",11
Dinner,vegan parmesan,11
Dinner,marinara sauce,11
Dinner,spinach,10
Dinner,vegan lasagna,10
Dinner,vegan sour cream,10
Dinner,lasagna noodles,10
Dinner,vegan ricotta,9
Dinner,corn,9
Dinner,"lentil _plain, soup and others_",8
Dinner,lettuce _romaine and others_,7
Dinner,olive oil,4
Dinner,corn tortillas,4
Dinner,"tacos _vegan, black beans, and others_",4
Dinner,"avocado _plain, wrap, toast and others_",3
