Meals,Words,n
Breakfast,syrup agave maple and others,52
Breakfast,banana sliced whole and others,47
Breakfast,chiaseed plain pudding and others,33
Breakfast,nutfree milk,24
Breakfast,bread wholewheat and others,21
Breakfast,toast avocado and others,21
Breakfast,flaxseed,20
Breakfast,soy milk,20
Breakfast,wholegrain bread toast artisanal etc,19
Breakfast,flour,18
Breakfast,granola nutfree and others,18
Breakfast,smoothie spinach and others,18
Breakfast,spinach,18
Breakfast,vegan pancakes,18
Breakfast,avocado plain wrap toast and others,17
Breakfast,oatmeal all flavours eg banana,17
Breakfast,mixed berries,16
Breakfast,sugar,16
Breakfast,yogurt dairyfree and vegan,16
Breakfast,almond milk,15
Breakfast,blueberries,14
Breakfast,pineapple fresh slices and others,13
Breakfast,orange slices and others,12
Breakfast,strawberries fresh sliced and others,11
Breakfast,apples sliced baked and others,5
Breakfast,baking powder,5
Breakfast,cinnamon,5
Breakfast,kiwi plain slices and salad,5
Breakfast,mango plain slices and salad,5
Breakfast,seasoned salt,5
Breakfast,seasoned pepper,4
Breakfast,vegan french toast,4
Breakfast,honey,3
Breakfast,bread notspecific,2
Breakfast,"bagel (whole-grain, vegan, etc.)",1
Breakfast,chickpea flour,1
Breakfast,coconut flakes,1
Breakfast,fruit salad,1
Breakfast,juice carrot lemon orange etc,1
Breakfast,mixednuts nutfree option,1
Breakfast,"oats (cooked, porridge and gluten-free)",1
Breakfast,raspberries,1
Breakfast,tomato sliced cherry and others,1
Breakfast,vanilla extract,1
Breakfast,vegan omelette,1
Dinner,bell pepper stuffed sauteed etc,66
Dinner,vegetables crunchy skewered etc,60
Dinner,rice sushi jasmine brown etc,41
Dinner,tomato sliced cherry and others,38
Dinner,tofu vegan stirfry and others,30
Dinner,mushrooms stroganoff vegan etc,29
Dinner,peas snap and others,26
Dinner,carrots stirfry sticks and others,23
Dinner,black beans plain salad and others,22
Dinner,spices curry and others,21
Dinner,vegetable broth,20
Dinner,onion red and others,18
Dinner,soy sesame dressing plain sauce and others,18
Dinner,tomato sauce,18
Dinner,broccoli stirfry and others,17
Dinner,artichokes,15
Dinner,mushroom risotto,15
Dinner,saffron,15
Dinner,salsa,15
Dinner,vegan paella,15
Dinner,sesame oil,14
Dinner,vegan cheese,14
Dinner,vegan pizza base and others,13
Dinner,kidney beans,12
Dinner,vegan chilli,12
Dinner,marinara sauce,11
Dinner,potatoes mashed sweet and others,11
Dinner,vegan parmesan,11
Dinner,lasagna noodles,10
Dinner,spinach,10
Dinner,vegan lasagna,10
Dinner,vegan sour cream,10
Dinner,corn,9
Dinner,vegan ricotta,9
Dinner,lentil plain soup and others,8
Dinner,lettuce romaine and others,7
Dinner,corn tortillas,4
Dinner,olive oil,4
Dinner,tacos vegan black beans and others,4
Dinner,avocado plain wrap toast and others,3
Dinner,basil fresh and others,3
Dinner,vegan ground meat substitute,3
Dinner,vegan patty,3
