Meals,Words,n
Breakfast,"syrup (agave, maple and others)",54
Breakfast,"banana (sliced, whole and others)",53
Breakfast,"chia-seed (plain, pudding and others)",34
Breakfast,flaxseed,26
Breakfast,oatmeal (all flavours e.g. banana),24
Breakfast,cooked oats,24
Breakfast,almond milk,22
Breakfast,"strawberries (fresh, sliced, and others)",22
Breakfast,blueberries,20
Breakfast,"yogurt (dairy-free, soy, and vegan)",19
Breakfast,orange (slices and others),19
Breakfast,coconut milk,19
Breakfast,granola (nut-free and others),19
Breakfast,fruit salad,19
Breakfast,"spinach (plain, salad, etc)",18
Breakfast,bread (whole-wheat and others),18
Breakfast,smoothie (spinach and others),18
Breakfast,toast (not specific),17
Breakfast,"soy (sesame dressing, plain sauce and others)",15
Breakfast,vegan pancakes,15
Breakfast,sugar,15
Breakfast,flour,15
Breakfast,"avocado (plain, wrap, toast and others)",12
Breakfast,"pineapple (fresh, slices and others)",12
Breakfast,mixed berries,11
Breakfast,soy milk,11
Breakfast,"apples (sliced, baked, and others)",8
Breakfast,"mango (plain, slices, and salad)",7
Breakfast,butter (almond and others),6
Breakfast,jam,6
Breakfast,"bagel (whole-grain, vegan, etc.)",1
Breakfast,spread (not specific),1
Dinner,"bell pepper (stuffed, sautéed, etc.)",67
Dinner,"vegetables (mixed, stir-fry etc.)",52
Dinner,"rice (sushi, jasmine, brown, etc.)",49
Dinner,"tomato (sliced, cherry, and others)",39
Dinner,"tofu (vegan, stir-fry and others)",36
Dinner,"mushrooms (stroganoff, vegan, etc.)",32
Dinner,"carrots (stir-fry, sticks, and others)",29
Dinner,onion (red and others),24
Dinner,vegetable broth,20
Dinner,broccoli (stir-fry and others),19
Dinner,"black beans (plain, salad and others)",19
Dinner,"soy (sesame dressing, plain sauce and others)",19
Dinner,kidney beans,19
Dinner,vegan chili,19
Dinner,mushroom risotto,19
Dinner,salsa,18
Dinner,"spices (curry, and others)",18
Dinner,tomato sauce,15
Dinner,spices (not specific),15
Dinner,vegan cheese,14
Dinner,vegan pizza (base and others),14
Dinner,"potatoes (mashed, sweet, and others)",13
Dinner,vegan sour cream,12
Dinner,vegan ricotta,12
Dinner,"spinach (plain, salad, etc)",11
Dinner,peas (snap and others),11
Dinner,vegan lasagna,11
Dinner,lasagna noodles,11
Dinner,marinara sauce,11
Dinner,sesame oil,10
Dinner,vegan paella,10
Dinner,saffron,10
Dinner,cucumber (diced and others),7
Dinner,"avocado (plain, wrap, toast and others)",7
Dinner,"vegan sushi (rolls, bowls, and others)",7
Dinner,nori sheets,7
Dinner,vegan pad thai,6
Dinner,tamarind sauce,6
Dinner,bean sprouts,6
Dinner,rice noodles,6
Dinner,lettuce (romaine and others),5
Dinner,veggie burger,5
Dinner,vegan patty,5
Dinner,whole-grain bun,5
Dinner,"lentil (plain, soup and others)",2
Dinner,celery,2
Dinner,ketchup,2
Dinner,corn,2
Dinner,peanuts,2
Dinner,coconut milk,1
Dinner,"quinoa (plain, salad and others)",1
Dinner,vegetable curry,1
Lunch,"tomato (sliced, cherry, and others)",80
Lunch,olive oil,50
Lunch,"carrots (stir-fry, sticks, and others)",49
Lunch,cucumber (diced and others),48
Lunch,"juice (carrot, lemon, orange, etc.)",39
Lunch,"vegetables (mixed, stir-fry etc.)",36
Lunch,onion (red and others),34
Lunch,vegetable broth,30
Lunch,"lentil (plain, soup and others)",30
Lunch,celery,30
Lunch,"avocado (plain, wrap, toast and others)",26
Lunch,tomato sauce,20
Lunch,"spinach (plain, salad, etc)",19
Lunch,"quinoa (plain, salad and others)",19
Lunch,peas (snap and others),18
Lunch,lettuce (romaine and others),18
Lunch,basil (fresh and others),18
Lunch,"wrap (vegan, whole grain, falafel, etc.)",18
Lunch,mixed greens,16
Lunch,"chickpeas (plain, sandwich, salad, roasted, and others)",15
Lunch,hummus,13
Lunch,"tahini dressing (lemon, sauce, and others)",13
Lunch,nutritional yeast,11
Lunch,vegan cheese,6
Lunch,"bell pepper (stuffed, sautéed, etc.)",5
Lunch,"mushrooms (stroganoff, vegan, etc.)",5
Lunch,vegan pizza (base and others),5
Lunch,vegan tzatziki,4
Lunch,broccoli (stir-fry and others),3
Lunch,"black beans (plain, salad and others)",3
Lunch,"potatoes (mashed, sweet, and others)",3
Lunch,vegan tomato and basil soup,3
Lunch,tomato soup,3
Lunch,"rice (sushi, jasmine, brown, etc.)",2
Lunch,"tofu (vegan, stir-fry and others)",2
Lunch,"soy (sesame dressing, plain sauce and others)",2
Lunch,sesame oil,2
Lunch,salsa,1
Lunch,"vegan sushi (rolls, bowls, and others)",1
Lunch,tortilla (whole-wheat and others),1
Lunch,broccoli almond soup,1
Lunch,pasta (whole-wheat and others),
Lunch,vinaigrette (balsamic and others),
Snacks,"banana (sliced, whole and others)",34
Snacks,"carrots (stir-fry, sticks, and others)",28
Snacks,"yogurt (dairy-free, soy, and vegan)",22
Snacks,dark chocolate (vegan),20
Snacks,vegan gelato,19
Snacks,chocolate pudding,19
Snacks,grapes,18
Snacks,hummus,17
Snacks,"mango (plain, slices, and salad)",17
Snacks,rice cakes,17
Snacks,vegan cheese,16
Snacks,vegan protein bar,16
Snacks,almond milk,13
Snacks,vegan protein shake,13
Snacks,latte,12
Snacks,"pineapple (fresh, slices and others)",11
Snacks,"juice (carrot, lemon, orange, etc.)",10
Snacks,orange (slices and others),8
Snacks,vegan ice cream,8
Snacks,bread (whole-wheat and others),7
Snacks,butter (almond and others),7
Snacks,"peach (slices, diced and others)",7
Snacks,mixed berries,3
Snacks,"avocado (plain, wrap, toast and others)",2
Snacks,avocado spread,2
Snacks,mixed-nuts (nut-free option),1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
