Meals,Words,n
Breakfast,banana sliced whole and others,62
Breakfast,spinach plain salad etc,41
Breakfast,smoothie spinach and others,41
Breakfast,butter almond and others,35
Breakfast,syrup agave maple and others,35
Breakfast,almond milk,34
Breakfast,granola glutenfree and others,27
Breakfast,mixed greens,26
Breakfast,chiaseed plain pudding and others,25
Breakfast,black beans plain salad and others,24
Breakfast,flaxseed,22
Breakfast,glutenfree oats,21
Breakfast,soy milk,21
Breakfast,yogurt dairyfree and vegan,19
Breakfast,blueberries,19
Breakfast,oatmeal all flavours eg banana,19
Breakfast,vegan protein powder,19
Breakfast,lentil plain soup and others,19
Breakfast,salsa,19
Breakfast,corn,19
Breakfast,avocado plain wrap toast and others,16
Breakfast,orange slices and others,16
Breakfast,bread wholewheat and others,16
Breakfast,apple,14
Breakfast,coconut milk,8
Breakfast,berries mixed fresh,7
Breakfast,bread wholewheat and others,7
Breakfast,mango plain slices and salad,6
Breakfast,raspberries,6
Breakfast,almonds whole and others,5
Breakfast,strawberries fresh sliced and others,4
Breakfast,mixednuts,3
Breakfast,cinnamon,3
Breakfast,walnuts,3
Breakfast,glutenfree pancakes,3
Breakfast,flour glutenfree,3
Breakfast,pasta wholewheat and others,3
Dinner,onion red and others,77
Dinner,bell pepper stuffed sauteed etc,66
Dinner,tofu vegan stirfry and others,54
Dinner,tomato sliced cherry and others,53
Dinner,rice sushi jasmine brown etc,41
Dinner,vegetables mixed stirfry etc,38
Dinner,spices curry and others,31
Dinner,carrots stirfry sticks and others,30
Dinner,soy sesame dressing glutenfree sauce etc,27
Dinner,marinara sauce,24
Dinner,kidney beans,20
Dinner,glutenfree chili spices,20
Dinner,pasta wholewheat and others,19
Dinner,vegan pad thai,19
Dinner,bean sprouts,19
Dinner,rice noodles,19
Dinner,vegan pasta bolognese,19
Dinner,glutenfree pad thai sauce,18
Dinner,mushrooms stroganoff vegan etc,16
Dinner,avocado plain wrap toast and others,14
Dinner,spinach plain salad etc,14
Dinner,tomato sauce,14
Dinner,olive oil,13
Dinner,broccoli stirfry and others,12
Dinner,cucumber diced and others,11
Dinner,vegan sushi rolls bowls and others,11
Dinner,nori sheets,11
Dinner,vegan pizza base and others,8
Dinner,vegan cheese,8
Dinner,glutenfree marinade,8
Dinner,peas snap and others,7
Dinner,lentil plain soup and others,7
Dinner,potatoes mashed sweet and others,7
Dinner,zucchini roasted fresh and others,7
Dinner,vegan shepherds pie,7
Dinner,glutenfree gravy,7
Dinner,salsa,3
Dinner,corn,3
Dinner,lettuce romaine and others,3
Dinner,tacos vegan black beans and others,3
Dinner,corn tortillas,3
Dinner,sesame oil,1
Dinner,tamari sauce,1
Dinner,peanuts,1
Lunch,tomato sliced cherry and others,74
Lunch,peas snap and others,60
Lunch,juice carrot lemon orange etc,57
Lunch,olive oil,52
Lunch,avocado plain wrap toast and others,49
Lunch,chickpeas plain sandwich salad etc,44
Lunch,quinoa plain salad and others,38
Lunch,carrots stirfry sticks and others,35
Lunch,cucumber diced and others,35
Lunch,vegetable broth,35
Lunch,vegetables mixed stirfry etc,27
Lunch,bell pepper stuffed sauteed etc,24
Lunch,rice sushi jasmine brown etc,19
Lunch,celery,19
Lunch,vegan burrito,19
Lunch,vegan mayo,18
Lunch,onion red and others,16
Lunch,lettuce romaine and others,15
Lunch,spinach plain salad etc,14
Lunch,wrap vegan whole grain falafel etc,11
Lunch,spices curry and others,8
Lunch,spicesnot specific,8
Lunch,vegetable and bean soup,5
Lunch,white beans,5
Lunch,strawberries fresh sliced and others,5
Lunch,balsamic vinegar,4
Lunch,potatoes mashed sweet and others,3
Lunch,vegan feta,3
Lunch,glutenfree pad thai sauce,1
Snacks,almond milk,42
Snacks,apple,35
Snacks,glutenfree vegan cookie,34
Snacks,rice cakes,34
Snacks,mango plain slices and salad,33
Snacks,orange slices and others,22
Snacks,glutenfree vegan muffin,21
Snacks,vegan protein shake,21
Snacks,avocado plain wrap toast and others,18
Snacks,granola glutenfree and others,17
Snacks,butter almond and others,16
Snacks,peanuts,16
Snacks,banana sliced whole and others,13
Snacks,yogurt,13
Snacks,almond milk yogurt,12
Snacks,peach slices diced and others,12
Snacks,carrots stirfry sticks and others,8
Snacks,mixednuts,8
Snacks,grapefruit,8
Snacks,hummus,8
Snacks,juice carrot lemon orange etc,3
Snacks,almonds whole and others,3
Snacks,chocolate pudding,3
Snacks,glutenfree vegan brownie,3
Snacks,glutenfree vegan bar,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
