Meals,Words,n
Breakfast,banana,78
Breakfast,almond milk,45
Breakfast,spinach plain salad etc,47
Breakfast,avocado plain wrap toast and others,1
Breakfast,butter almond and others,51
Breakfast,tofu vegan stirfry and others,1
Breakfast,smoothie spinach and others,48
Breakfast,apples sliced baked and others,25
Breakfast,berries mixed and fresh,39
Breakfast,black beans plain salad and others,1
Breakfast,yogurt dairyfree soy and vegan,14
Breakfast,orange slices and others,13
Breakfast,lettuce romaine and others,2
Breakfast,syrup agave maple and others,3
Breakfast,chiaseed plain pudding and others,25
Breakfast,vegan cheese,2
Breakfast,granola nutfree and others,21
Breakfast,oats cooked porridge and glutenfree,21
Breakfast,mixed nuts,3
Breakfast,vegan protein powder,20
Breakfast,soy milk,20
Breakfast,vegan protein powder,20
Breakfast,salsa,1
Breakfast,oatmeal all flavours eg banana,19
Breakfast,coconut milk,4
Breakfast,flaxseed,17
Breakfast,mushrooms stroganoff vegan etc,2
Breakfast,cinnamon,16
Breakfast,vegan pancakes,19
Breakfast,vegan burrito,1
Breakfast,mango plain slices and salad,1
Breakfast,fruit salad,14
Breakfast,baking powder,13
Breakfast,water,10
Breakfast,walnuts,4
Breakfast,tortilla wholewheat and others,1
Breakfast,bagel wholegrain vegan etc,5
Breakfast,vegan cream cheese,5
Breakfast,strawberries,3
Breakfast,vegan omelette,2
Breakfast,chickpea flour,2
Breakfast,pineapple,2
Breakfast,pumpkin seeds,1
Breakfast,mixed seeds,1
Lunch,carrots stirfry sticks and others,45
Lunch,tomato sliced cherry and others,60
Lunch,vegetables crunchy skewered etc,26
Lunch,bell pepper stuffed sauteed etc,10
Lunch,rice sushi jasmine brown etc,33
Lunch,peas snap and others,46
Lunch,onion red and others,19
Lunch,spinach plain salad etc,4
Lunch,avocado plain wrap toast and others,47
Lunch,chickpeas plain sandwich salad roasted and others,37
Lunch,dressing lime lemon,23
Lunch,black beans plain salad and others,21
Lunch,soy sesame dressing plain sauce and others,1
Lunch,cucumber diced and others,36
Lunch,corn,16
Lunch,lentil plain soup and others,28
Lunch,lettuce romaine and others,27
Lunch,potatoes mashed sweet and others,13
Lunch,olive oil,27
Lunch,juice carrot lemon orange etc,23
Lunch,vegan cheese,5
Lunch,spices curry and others,5
Lunch,mixed greens,23
Lunch,celery,19
Lunch,quinoa plain salad and others,19
Lunch,salsa,14
Lunch,vegetable broth,19
Lunch,tomato sauce,3
Lunch,marinara sauce,2
Lunch,spicesnot specific,4
Lunch,pasta wholewheat and others,3
Lunch,mushrooms stroganoff vegan etc,3
Lunch,bread wholewheat and others,10
Lunch,vegan pizza,3
Lunch,vegan burrito,13
Lunch,vegan sushi rolls bowls and others,15
Lunch,nori sheets,14
Lunch,vegan shepherds pie,9
Lunch,vegan gravy,9
Lunch,vegan mayo,11
Lunch,croutons,11
Lunch,vegan caesar dressing,11
Lunch,vegan caesar salad,11
Lunch,cilantro,10
Lunch,hemp seeds,9
Lunch,tahini dressing lemon sauce and others,7
Lunch,wrap vegan whole grain falafel etc,6
Lunch,tamari sauce,5
Lunch,zucchini roasted fresh and others,1
Lunch,textured vegetable protein,1
Lunch,buddha,4
Lunch,tacos vegan black beans and others,2
Lunch,vegan meatballs,2
Lunch,vegan tzatziki sauce and others,3
Lunch,vegan feta,3
Lunch,whole wheat sub roll,2
Lunch,vegan parmesan,2
Lunch,whole wheat pita,2
Lunch,vinaigrette balsamic and others,1
Lunch,nutritional yeast,2
Lunch,olives,1
Lunch,artichokes,1
Lunch,sesame seeds,1
Dinner,carrots stirfry sticks and others,33
Dinner,tomato sliced cherry and others,43
Dinner,vegetables crunchy skewered etc,60
Dinner,bell pepper stuffed sauteed etc,71
Dinner,rice sushi jasmine brown etc,38
Dinner,peas snap and others,22
Dinner,onion red and others,46
Dinner,spinach plain salad etc,6
Dinner,avocado plain wrap toast and others,3
Dinner,tofu vegan stirfry and others,50
Dinner,chickpeas plain sandwich salad roasted and others,13
Dinner,black beans plain salad and others,17
Dinner,soy sesame dressing plain sauce and others,17
Dinner,corn,20
Dinner,lentil plain soup and others,7
Dinner,lettuce romaine and others,4
Dinner,potatoes mashed sweet and others,18
Dinner,olive oil,3
Dinner,broccoli stirfry and others,26
Dinner,vegan cheese,17
Dinner,spices curry and others,19
Dinner,celery,2
Dinner,quinoa plain salad and others,1
Dinner,salsa,4
Dinner,tomato sauce,16
Dinner,marinara sauce,17
Dinner,coconut milk,14
Dinner,spicesnot specific,12
Dinner,vegan pad thai,18
Dinner,bean sprouts,18
Dinner,rice noodles,18
Dinner,pasta wholewheat and others,14
Dinner,mushrooms stroganoff vegan etc,12
Dinner,bread wholewheat and others,4
Dinner,vegan pizza,13
Dinner,vegan burrito,1
Dinner,sesame oil,14
Dinner,vegan shepherds pie,5
Dinner,vegan gravy,5
Dinner,vegetable kebabs,13
Dinner,vegan marinade,13
Dinner,vegan chili,10
Dinner,kidney beans,10
Dinner,chili powder and spices,10
Dinner,walnuts,2
Dinner,tortilla wholewheat and others,4
Dinner,vegan lasagna,5
Dinner,lasagna noodles,5
Dinner,zucchini roasted fresh and others,3
Dinner,textured vegetable protein,3
Dinner,peanuts,4
Dinner,vegan ricotta,5
Dinner,vegan mozzarella,4
Dinner,garlic,3
Dinner,vegan spaghetti plain and bolognese,3
Dinner,tacos vegan black beans and others,3
Dinner,corn tortillas,3
Dinner,vegan taco filling,3
Dinner,vegan meatballs,1
Dinner,vegan meat crumbles,2
Dinner,garlic bread,2
Dinner,vegan sour cream,2
Dinner,vegan meatloaf,2
Dinner,breadcrumbs,2
Dinner,ketchup glaze,2
Dinner,vegan jambalaya rice,2
Dinner,vegan sausage,2
Dinner,cajun seasoning,2
Dinner,glutenfree pasta primavera,3
Dinner,cumin,1
Dinner,vegan thai curry,1
Dinner,curry paste,1
Dinner,nutritional yeast,8
Dinner,refried beans,1
Snacks,carrots stirfry sticks and others,26
Snacks,banana,16
Snacks,almond milk,45
Snacks,avocado plain wrap toast and others,3
Snacks,butter almond and others,1
Snacks,apples sliced baked and others,19
Snacks,berries mixed and fresh,3
Snacks,yogurt dairyfree soy and vegan,25
Snacks,orange slices and others,20
Snacks,juice carrot lemon orange etc,3
Snacks,hummus,26
Snacks,vegan cheese,1
Snacks,granola nutfree and others,3
Snacks,mixed nuts,18
Snacks,almond milk yogurt,20
Snacks,vegan protein shake,19
Snacks,bread wholewheat and others,2
Snacks,mango plain slices and salad,14
Snacks,peach slices diced and others,13
Snacks,vegan chocolate pudding,12
Snacks,muffin glutenfree and vegan,9
Snacks,vegan protein bar,9
Snacks,cookie glutenfree and vegan,7
Snacks,almonds,5
Snacks,kiwi plain slices and salad,5
Snacks,pear,5
Snacks,grapefruit,4
Snacks,grapes,3
Snacks,rice cakes,3
Snacks,dried fruit,3
Snacks,glutenfree vegan brownie,3
Snacks,peanut butter sandwich,1
Snacks,vegan chocolate chip cookie,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
